target,dataset_name
DHA2_YEAST  0.57  0.53  0.53  0.34  0.50  0.00  0.53  0.22  MIT,yeast
ALG1_YEAST  0.86  0.68  0.39  0.24  0.50  0.00  0.54  0.22  ME2,yeast
ALG5_YEAST  0.86  0.74  0.51  0.40  0.50  0.00  0.55  0.22  ME2,yeast
GPT_YEAST   0.79  0.57  0.41  0.28  0.50  0.00  0.59  0.22  ME2,yeast
ALG8_YEAST  0.41  0.54  0.39  0.20  0.50  0.00  0.51  0.22  ME3,yeast
MAN1_YEAST  0.37  0.36  0.56  0.18  0.50  0.00  0.48  0.26  VAC,yeast
ANC1_YEAST  0.53  0.31  0.58  0.39  0.50  0.00  0.47  0.37  NUC,yeast
ANP1_YEAST  0.74  0.75  0.58  0.47  0.50  0.00  0.40  0.35  ME2,yeast
APE2_YEAST  0.49  0.39  0.52  0.29  0.50  0.00  0.48  0.22  EXC,yeast
APE3_YEAST  0.74  0.57  0.51  0.28  0.50  0.00  0.58  0.22  VAC,yeast
ALP1_YEAST  0.42  0.24  0.34  0.16  0.50  0.00  0.50  0.22  ME3,yeast
ADB2_YEAST  0.48  0.39  0.51  0.21  0.50  0.00  0.52  0.28  CYT,yeast
YHB9_YEAST  0.41  0.53  0.45  0.14  0.50  0.00  0.52  0.66  ME3,yeast
APN1_YEAST  0.45  0.46  0.55  0.43  0.50  0.00  0.55  0.38  NUC,yeast
ARD1_YEAST  0.56  0.48  0.58  0.27  0.50  0.00  0.51  0.22  CYT,yeast
ARF1_YEAST  0.64  0.59  0.56  0.23  0.50  0.00  0.46  0.22  CYT,yeast
ARF2_YEAST  0.64  0.56  0.56  0.22  0.50  0.00  0.45  0.22  CYT,yeast
ASSY_YEAST  0.66  0.62  0.49  0.10  0.50  0.00  0.49  0.22  CYT,yeast
OTC_YEAST   0.53  0.44  0.51  0.33  0.50  0.00  0.55  0.22  CYT,yeast
ARLY_YEAST  0.38  0.49  0.53  0.19  0.50  0.00  0.50  0.22  CYT,yeast
AR56_YEAST  0.45  0.58  0.48  0.67  0.50  0.00  0.52  0.22  MIT,yeast
ARGD_YEAST  0.43  0.35  0.52  0.52  0.50  0.00  0.54  0.22  MIT,yeast
ARG1_YEAST  0.37  0.32  0.47  0.18  0.50  0.00  0.45  0.25  NUC,yeast
ARG2_YEAST  0.48  0.43  0.51  0.32  0.50  0.00  0.52  0.43  NUC,yeast
ARG3_YEAST  0.41  0.46  0.59  0.19  0.50  0.00  0.58  0.27  NUC,yeast
ARO1_YEAST  0.54  0.48  0.44  0.08  0.50  0.00  0.52  0.27  CYT,yeast
AROC_YEAST  0.60  0.47  0.45  0.22  0.50  0.00  0.51  0.29  CYT,yeast
AROF_YEAST  0.34  0.46  0.57  0.09  0.50  0.00  0.55  0.22  CYT,yeast
AROG_YEAST  0.48  0.54  0.55  0.12  0.50  0.00  0.51  0.22  CYT,yeast
CHMU_YEAST  0.47  0.39  0.59  0.15  0.50  0.00  0.57  0.22  CYT,yeast
ASG2_YEAST  0.81  0.85  0.47  0.37  0.50  0.00  0.56  0.22  EXC,yeast
AST1_YEAST  0.48  0.42  0.52  0.24  0.50  0.00  0.56  0.22  CYT,yeast
ATE1_YEAST  0.58  0.51  0.49  0.27  0.50  0.00  0.57  0.29  CYT,yeast
ATM1_YEAST  0.60  0.50  0.44  0.61  0.50  0.00  0.47  0.22  MIT,yeast
ATPA_YEAST  0.45  0.55  0.54  0.66  0.50  0.00  0.47  0.22  MIT,yeast
ATPY_YEAST  0.46  0.49  0.58  0.23  0.50  0.00  0.44  0.22  MIT,yeast
ATPS_YEAST  0.49  0.42  0.56  0.55  0.50  0.00  0.42  0.25  MIT,yeast
ATPT_YEAST  0.63  0.53  0.54  0.40  0.50  0.00  0.50  0.22  MIT,yeast
ATPU_YEAST  0.50  0.54  0.53  0.54  0.50  0.00  0.51  0.27  MIT,yeast
ATPE_YEAST  0.63  0.57  0.59  0.40  0.50  0.00  0.38  0.22  MIT,yeast
ATPB_YEAST  0.43  0.57  0.51  0.49  0.50  0.00  0.48  0.22  MIT,yeast
ATPG_YEAST  0.48  0.45  0.55  0.50  0.50  0.00  0.53  0.22  MIT,yeast
ATPD_YEAST  0.50  0.58  0.46  0.46  0.50  0.00  0.46  0.22  MIT,yeast
ATPO_YEAST  0.51  0.54  0.60  0.57  0.50  0.00  0.58  0.22  MIT,yeast
ATP7_YEAST  0.54  0.52  0.63  0.37  0.50  0.00  0.46  0.22  MIT,yeast
ATP8_YEAST  0.67  0.62  0.40  0.43  0.50  0.83  0.50  0.22  MIT,yeast
ATR1_YEAST  0.28  0.58  0.21  0.13  0.50  0.00  0.51  0.22  ME3,yeast
YBR8_YEAST  0.39  0.44  0.35  0.16  0.50  0.00  0.55  0.22  ME3,yeast
BAR1_YEAST  0.80  0.63  0.45  0.29  0.50  0.00  0.51  0.22  EXC,yeast
BAS1_YEAST  0.50  0.52  0.59  0.30  0.50  0.00  0.51  0.35  NUC,yeast
BCK1_YEAST  0.42  0.47  0.52  0.41  0.50  0.00  0.53  0.32  CYT,yeast
BCK2_YEAST  0.36  0.46  0.62  0.46  0.50  0.00  0.51  0.33  CYT,yeast
BCS1_YEAST  0.46  0.38  0.47  0.22  0.50  0.00  0.52  0.27  MIT,yeast
KAPR_YEAST  0.40  0.45  0.56  0.20  0.50  0.00  0.45  0.22  CYT,yeast
BDF1_YEAST  0.33  0.43  0.64  0.16  0.50  0.00  0.52  0.52  NUC,yeast
BEM1_YEAST  0.49  0.61  0.49  0.25  0.50  0.00  0.50  0.28  CYT,yeast
BET1_YEAST  0.38  0.50  0.37  0.26  0.50  0.00  0.43  0.22  ME3,yeast
BGL2_YEAST  0.69  0.70  0.52  0.36  0.50  0.00  0.46  0.22  EXC,yeast
CYBM_YEAST  0.61  0.72  0.39  0.33  0.50  0.00  0.58  0.22  MIT,yeast
YMC4_YEAST  0.78  0.75  0.40  0.28  0.50  0.00  0.53  0.22  MIT,yeast
BIK1_YEAST  0.64  0.57  0.57  0.27  0.50  0.00  0.37  0.22  CYT,yeast
BOS1_YEAST  0.36  0.58  0.35  0.24  0.50  0.00  0.44  0.22  ME3,yeast
BSD2_YEAST  0.36  0.43  0.39  0.12  0.50  0.00  0.49  0.22  ME3,yeast
BUD5_YEAST  0.47  0.52  0.50  0.40  0.50  0.00  0.41  0.22  CYT,yeast
CAD1_YEAST  0.48  0.23  0.57  0.27  0.50  0.00  0.48  0.47  NUC,yeast
CAP2_YEAST  0.47  0.39  0.55  0.24  0.50  0.00  0.47  0.22  CYT,yeast
CAN1_YEAST  0.44  0.59  0.36  0.16  0.50  0.00  0.52  0.22  ME3,yeast
CAPA_YEAST  0.42  0.35  0.54  0.18  0.50  0.00  0.56  0.22  CYT,yeast
CAPB_YEAST  0.30  0.56  0.55  0.18  0.50  0.00  0.50  0.22  CYT,yeast
ARGI_YEAST  0.65  0.65  0.52  0.16  0.50  0.00  0.60  0.22  CYT,yeast
OAT_YEAST   0.27  0.60  0.48  0.23  0.50  0.00  0.55  0.22  CYT,yeast
CACP_YEAST  0.45  0.41  0.50  0.46  0.50  0.50  0.50  0.27  POX,yeast
CAT8_YEAST  0.44  0.52  0.41  0.23  0.50  0.00  0.51  0.22  NUC,yeast
CBF1_YEAST  0.30  0.32  0.57  0.19  0.50  0.00  0.48  0.55  NUC,yeast
CB32_YEAST  0.40  0.44  0.49  0.47  0.50  0.00  0.49  0.27  NUC,yeast
CBF5_YEAST  0.45  0.51  0.50  0.16  0.50  0.00  0.52  1.00  NUC,yeast
CBP1_YEAST  0.45  0.45  0.50  0.60  0.50  0.00  0.49  0.22  MIT,yeast
CBP2_YEAST  0.59  0.67  0.56  0.41  0.50  0.00  0.47  0.22  MIT,yeast
CBP3_YEAST  0.47  0.47  0.57  0.48  0.50  0.00  0.48  0.22  MIT,yeast
CBP4_YEAST  0.35  0.52  0.48  0.22  0.50  0.00  0.26  0.22  MIT,yeast
CBP6_YEAST  0.47  0.41  0.66  0.26  0.50  0.00  0.53  0.22  MIT,yeast
NC5R_YEAST  0.64  0.62  0.29  0.28  0.50  0.00  0.51  0.22  MIT,yeast
CBS1_YEAST  0.55  0.53  0.55  0.46  0.50  0.00  0.52  0.22  MIT,yeast
CBS2_YEAST  0.67  0.62  0.54  0.43  0.50  0.00  0.53  0.22  MIT,yeast
TNT_YEAST   0.59  0.60  0.49  0.43  0.50  0.00  0.53  0.31  MIT,yeast
ATU1_YEAST  0.54  0.55  0.34  0.31  0.50  0.00  0.54  0.22  ME3,yeast
CCE1_YEAST  0.58  0.62  0.54  0.17  0.50  0.00  0.48  0.22  MIT,yeast
CCL1_YEAST  0.40  0.38  0.53  0.16  0.50  0.00  0.52  0.27  NUC,yeast
CCPR_YEAST  0.46  0.71  0.48  0.53  0.50  0.00  0.53  0.22  MIT,yeast
CCR4_YEAST  0.53  0.51  0.55  0.05  0.50  0.00  0.45  0.25  NUC,yeast
CTPT_YEAST  0.41  0.40  0.59  0.47  0.50  0.00  0.48  0.43  CYT,yeast
CC10_YEAST  0.50  0.64  0.57  0.15  0.50  0.00  0.47  0.22  CYT,yeast
CC11_YEAST  0.40  0.62  0.52  0.31  0.50  0.00  0.49  0.31  CYT,yeast
CC12_YEAST  0.60  0.50  0.57  0.25  0.50  0.00  0.41  0.26  CYT,yeast
CC16_YEAST  0.62  0.51  0.52  0.42  0.50  0.00  0.54  0.27  NUC,yeast
CC23_YEAST  0.35  0.58  0.54  0.16  0.50  0.00  0.51  0.22  NUC,yeast
CC24_YEAST  0.34  0.54  0.50  0.21  0.50  0.00  0.54  0.31  CYT,yeast
CC25_YEAST  0.39  0.58  0.50  0.26  0.50  0.00  0.54  0.59  ME3,yeast
CC27_YEAST  0.48  0.54  0.50  0.17  0.50  0.00  0.53  0.22  NUC,yeast
CDC3_YEAST  0.29  0.32  0.58  0.15  0.50  0.00  0.50  0.30  CYT,yeast
CC31_YEAST  0.47  0.32  0.64  0.30  0.50  0.00  0.63  0.22  NUC,yeast
IF4E_YEAST  0.39  0.47  0.56  0.16  0.50  0.00  0.47  0.22  CYT,yeast
UBC3_YEAST  0.58  0.48  0.51  0.47  0.50  0.00  0.55  0.22  NUC,yeast
NOT2_YEAST  0.64  0.60  0.57  0.19  0.50  0.00  0.43  0.22  NUC,yeast
NOT1_YEAST  0.37  0.46  0.40  0.27  0.50  0.00  0.45  0.22  NUC,yeast
CC4_YEAST   0.43  0.57  0.53  0.16  0.50  0.00  0.54  0.22  CYT,yeast
CC40_YEAST  0.28  0.37  0.61  0.09  0.50  0.00  0.52  0.55  NUC,yeast
CC42_YEAST  0.59  0.48  0.50  0.14  0.50  0.00  0.45  0.25  CYT,yeast
CAL1_YEAST  0.39  0.55  0.48  0.31  0.50  0.00  0.54  0.29  CYT,yeast
RFC1_YEAST  0.26  0.36  0.47  0.34  0.50  0.00  0.53  0.72  NUC,yeast
CC46_YEAST  0.51  0.34  0.50  0.19  0.50  0.00  0.50  0.22  NUC,yeast
YB52_YEAST  0.58  0.50  0.50  0.12  0.50  0.00  0.48  0.25  NUC,yeast
CC48_YEAST  0.44  0.39  0.53  0.14  0.50  0.00  0.54  0.44  CYT,yeast
CC6_YEAST   0.41  0.39  0.44  0.34  0.50  0.00  0.48  0.40  NUC,yeast
SYLC_YEAST  0.45  0.43  0.51  0.24  0.50  0.00  0.54  0.33  CYT,yeast
CC68_YEAST  0.36  0.68  0.46  0.16  0.50  0.00  0.53  0.28  NUC,yeast
CC7_YEAST   0.42  0.31  0.50  0.15  0.50  0.00  0.53  0.22  NUC,yeast
KTHY_YEAST  0.42  0.43  0.56  0.10  0.50  0.00  0.49  0.22  CYT,yeast
DNLI_YEAST  0.67  0.71  0.52  0.65  0.50  0.00  0.53  0.36  NUC,yeast
MCE1_YEAST  0.49  0.47  0.53  0.16  0.50  0.00  0.48  0.27  NUC,yeast
CEM1_YEAST  0.71  0.59  0.48  0.43  0.50  0.00  0.59  0.22  MIT,yeast
RLUB_YEAST  0.40  0.42  0.71  0.21  0.50  0.00  0.54  0.32  CYT,yeast
RLUB_YEAST  0.40  0.42  0.71  0.21  0.50  0.00  0.54  0.32  CYT,yeast
CLH_YEAST   0.54  0.49  0.49  0.20  0.50  0.00  0.52  0.22  CYT,yeast
CHL1_YEAST  0.42  0.51  0.50  0.12  0.50  0.00  0.52  0.46  NUC,yeast
CHL4_YEAST  0.57  0.51  0.53  0.18  0.50  0.00  0.56  0.25  NUC,yeast
PSS_YEAST   0.35  0.45  0.43  0.11  0.50  0.00  0.56  0.22  ME3,yeast
PEM1_YEAST  0.42  0.42  0.42  0.20  0.50  0.00  0.49  0.22  ME3,yeast
CHS1_YEAST  0.26  0.50  0.33  0.28  0.50  0.00  0.51  0.22  ME3,yeast
CHS2_YEAST  0.39  0.42  0.38  0.40  0.50  0.00  0.49  0.47  ME3,yeast
CHS3_YEAST  0.26  0.44  0.30  0.11  0.50  0.00  0.51  0.47  ME3,yeast
CIK1_YEAST  0.31  0.44  0.53  0.23  0.50  0.00  0.51  0.32  NUC,yeast
CIN1_YEAST  0.48  0.61  0.44  0.20  0.50  0.00  0.47  0.22  CYT,yeast
CIN4_YEAST  0.66  0.45  0.50  0.23  0.50  0.00  0.49  0.22  CYT,yeast
CIN8_YEAST  0.21  0.41  0.55  0.11  0.50  0.00  0.50  0.27  CYT,yeast
CISY_YEAST  0.38  0.68  0.44  0.45  0.50  0.00  0.53  0.22  MIT,yeast
CISZ_YEAST  0.44  0.38  0.48  0.32  0.50  0.83  0.53  0.22  POX,yeast
KC21_YEAST  0.31  0.31  0.56  0.33  0.50  0.00  0.52  0.33  NUC,yeast
KC22_YEAST  0.49  0.31  0.49  0.35  0.50  0.00  0.51  0.29  NUC,yeast
KC2C_YEAST  0.38  0.37  0.56  0.21  0.50  0.00  0.49  0.22  NUC,yeast
KICH_YEAST  0.39  0.40  0.53  0.67  0.50  0.00  0.47  0.22  CYT,yeast
CLC1_YEAST  0.24  0.34  0.69  0.18  0.50  0.00  0.52  0.22  CYT,yeast
CG11_YEAST  0.49  0.43  0.51  0.13  0.50  0.00  0.47  0.22  CYT,yeast
CG12_YEAST  0.54  0.38  0.52  0.18  0.50  0.00  0.48  0.22  CYT,yeast
CG13_YEAST  0.43  0.57  0.53  0.53  0.50  0.00  0.53  0.25  CYT,yeast
CALM_YEAST  0.48  0.64  0.61  0.23  0.50  0.00  0.60  0.22  CYT,yeast
KCC1_YEAST  0.31  0.55  0.52  0.17  0.50  0.00  0.52  0.22  CYT,yeast
KCC2_YEAST  0.32  0.57  0.50  0.15  0.50  0.00  0.53  0.22  CYT,yeast
P2B1_YEAST  0.32  0.42  0.52  0.24  0.50  0.00  0.60  0.22  CYT,yeast
P2B2_YEAST  0.59  0.50  0.52  0.28  0.50  0.00  0.55  0.25  CYT,yeast
CALB_YEAST  0.37  0.42  0.51  0.11  0.50  0.00  0.57  0.22  CYT,yeast
CALX_YEAST  0.75  0.70  0.38  0.27  0.50  0.00  0.49  0.22  ME1,yeast
CYB_YEAST   0.61  0.72  0.31  0.33  0.50  0.00  0.56  0.22  MIT,yeast
COFI_YEAST  0.44  0.42  0.60  0.21  0.50  0.00  0.57  0.22  CYT,yeast
COQ1_YEAST  0.52  0.51  0.51  0.54  0.50  0.00  0.55  0.27  MIT,yeast
COQ2_YEAST  0.63  0.56  0.45  0.58  0.50  0.00  0.51  0.22  MIT,yeast
COQ3_YEAST  0.52  0.56  0.54  0.53  0.50  0.00  0.45  0.22  MIT,yeast
UCR1_YEAST  0.58  0.58  0.58  0.49  0.50  0.00  0.49  0.26  MIT,yeast
COT1_YEAST  0.72  0.62  0.34  0.29  0.50  0.00  0.56  0.28  MIT,yeast
COX1_YEAST  0.72  0.61  0.37  0.30  0.50  0.00  0.57  0.22  MIT,yeast
COXX_YEAST  0.46  0.43  0.38  0.33  0.50  0.00  0.48  0.28  MIT,yeast
COXZ_YEAST  0.57  0.57  0.44  0.37  0.50  0.00  0.52  0.25  MIT,yeast
COXG_YEAST  0.42  0.31  0.62  0.12  0.50  0.00  0.40  0.22  MIT,yeast
COXE_YEAST  0.49  0.46  0.45  0.45  0.50  0.00  0.52  0.22  MIT,yeast
YEX1_YEAST  0.42  0.58  0.41  0.65  0.50  0.00  0.46  0.26  MIT,yeast
COX2_YEAST  0.59  0.61  0.34  0.22  0.50  0.00  0.51  0.22  MIT,yeast
COX3_YEAST  0.52  0.77  0.38  0.34  0.50  0.00  0.51  0.22  MIT,yeast
COX4_YEAST  0.50  0.52  0.60  0.51  0.50  0.00  0.48  0.22  MIT,yeast
COXA_YEAST  0.49  0.60  0.43  0.56  0.50  0.00  0.36  0.22  MIT,yeast
COXB_YEAST  0.50  0.41  0.44  0.50  0.50  0.00  0.42  0.22  MIT,yeast
COX6_YEAST  0.50  0.40  0.56  0.70  0.50  0.00  0.50  0.22  MIT,yeast
COX7_YEAST  0.37  0.58  0.44  0.51  0.50  0.00  0.44  0.22  MIT,yeast
COX8_YEAST  0.55  0.45  0.45  0.54  0.50  0.00  0.50  0.22  MIT,yeast
COX9_YEAST  0.67  0.68  0.46  0.29  0.50  0.00  0.46  0.22  MIT,yeast
CARA_YEAST  0.53  0.51  0.46  0.28  0.50  0.00  0.48  0.22  CYT,yeast
CARB_YEAST  0.35  0.66  0.49  0.21  0.50  0.00  0.54  0.25  CYT,yeast
CYPH_YEAST  0.52  0.40  0.60  0.12  0.50  0.00  0.55  0.22  CYT,yeast
CYPB_YEAST  0.77  0.79  0.58  0.23  0.50  0.00  0.48  0.22  EXC,yeast
CYPC_YEAST  0.47  0.46  0.59  0.49  0.50  0.00  0.56  0.22  MIT,yeast
CYPR_YEAST  0.73  0.83  0.43  0.30  0.50  0.00  0.55  0.22  ME1,yeast
CYPD_YEAST  0.78  0.74  0.58  0.25  1.00  0.00  0.53  0.22  ERL,yeast
CBPS_YEAST  0.70  0.65  0.54  0.28  0.50  0.00  0.60  0.40  VAC,yeast
CPT1_YEAST  0.47  0.54  0.37  0.14  0.50  0.00  0.50  0.22  ME3,yeast
CRM1_YEAST  0.56  0.52  0.48  0.17  0.50  0.00  0.46  0.22  NUC,yeast
R141_YEAST  0.57  0.41  0.59  0.24  0.50  0.00  0.40  0.22  CYT,yeast
R142_YEAST  0.56  0.41  0.58  0.21  0.50  0.00  0.42  0.22  CYT,yeast
CSE1_YEAST  0.58  0.56  0.45  0.12  0.50  0.00  0.51  0.22  NUC,yeast
CSE2_YEAST  0.53  0.38  0.66  0.25  0.50  0.00  0.43  0.22  NUC,yeast
YKE9_YEAST  0.34  0.36  0.54  0.11  0.50  0.00  0.36  0.21  NUC,yeast
CSG2_YEAST  0.69  0.61  0.38  0.27  0.50  0.00  0.52  0.22  ME2,yeast
CATA_YEAST  0.37  0.53  0.60  0.19  0.50  0.50  0.42  0.22  POX,yeast
CB33_YEAST  0.41  0.45  0.53  0.17  0.50  0.00  0.51  0.25  NUC,yeast
CTK1_YEAST  0.31  0.46  0.54  0.52  0.50  0.00  0.50  0.34  NUC,yeast
CTR1_YEAST  0.36  0.37  0.33  0.14  0.50  0.00  0.57  0.31  ME3,yeast
CHI1_YEAST  0.82  0.78  0.49  0.23  0.50  0.00  0.46  0.22  EXC,yeast
CHI2_YEAST  0.82  0.75  0.54  0.23  0.50  0.00  0.46  0.22  EXC,yeast
CATT_YEAST  0.41  0.51  0.58  0.15  0.50  0.00  0.45  0.27  CYT,yeast
MTC_YEAST   0.38  0.51  0.75  0.17  0.50  0.00  0.55  0.22  CYT,yeast
MTC_YEAST   0.38  0.51  0.75  0.17  0.50  0.00  0.55  0.22  CYT,yeast
CYB2_YEAST  0.53  0.44  0.51  0.33  0.50  0.00  0.52  0.22  MIT,yeast
CYC1_YEAST  0.46  0.54  0.71  0.15  0.50  0.00  0.59  0.22  MIT,yeast
CYC2_YEAST  0.40  0.56  0.48  0.14  0.50  0.00  0.47  0.22  MIT,yeast
CCHL_YEAST  0.53  0.53  0.60  0.13  0.50  0.00  0.49  0.22  MIT,yeast
CYC7_YEAST  0.42  0.57  0.72  0.22  0.50  0.00  0.57  0.22  MIT,yeast
RL2A_YEAST  0.45  0.27  0.57  0.36  0.50  0.00  0.52  0.18  CYT,yeast
CYAA_YEAST  0.20  0.26  0.52  0.14  0.50  0.00  0.53  0.44  CYT,yeast
CYS3_YEAST  0.51  0.53  0.55  0.14  0.50  0.00  0.51  0.22  CYT,yeast
CY1_YEAST   0.44  0.68  0.45  0.51  0.50  0.00  0.52  0.41  MIT,yeast
CYT2_YEAST  0.27  0.39  0.66  0.11  0.50  0.00  0.44  0.22  MIT,yeast
DAL4_YEAST  0.55  0.42  0.34  0.30  0.50  0.00  0.52  0.22  ME3,yeast
DAL5_YEAST  0.34  0.42  0.30  0.23  0.50  0.00  0.53  0.22  ME3,yeast
MASZ_YEAST  0.44  0.53  0.52  0.23  0.50  0.83  0.51  0.22  POX,yeast
DA80_YEAST  0.59  0.58  0.56  0.21  0.50  0.00  0.54  0.33  NUC,yeast
DA81_YEAST  0.39  0.28  0.46  0.12  0.50  0.00  0.41  0.22  NUC,yeast
DA82_YEAST  0.56  0.43  0.54  0.16  0.50  0.00  0.50  0.22  NUC,yeast
DAP2_YEAST  0.36  0.68  0.38  0.08  0.50  0.00  0.53  0.25  VAC,yeast
DATI_YEAST  0.27  0.36  0.60  0.33  0.50  0.00  0.37  0.31  NUC,yeast
DBF4_YEAST  0.35  0.40  0.59  0.22  0.50  0.00  0.47  0.37  NUC,yeast
DBP1_YEAST  0.42  0.32  0.50  0.21  0.50  0.00  0.51  0.22  NUC,yeast
DBP2_YEAST  0.23  0.20  0.53  0.20  0.50  0.00  0.44  0.22  NUC,yeast
DBR1_YEAST  0.55  0.54  0.56  0.22  0.50  0.00  0.50  0.37  NUC,yeast
DED1_YEAST  0.36  0.24  0.49  0.16  0.50  0.00  0.51  0.22  NUC,yeast
DEP1_YEAST  0.38  0.48  0.59  0.22  0.50  0.00  0.46  0.22  CYT,yeast
DYR_YEAST   0.80  0.46  0.50  0.15  0.50  0.00  0.53  0.22  CYT,yeast
DYHC_YEAST  0.60  0.56  0.47  0.20  0.50  0.00  0.50  0.38  NUC,yeast
DHH1_YEAST  0.41  0.24  0.54  0.26  0.50  0.00  0.41  0.22  NUC,yeast
DLD1_YEAST  0.47  0.65  0.54  0.62  0.50  0.00  0.53  0.36  MIT,yeast
DMC1_YEAST  0.43  0.39  0.54  0.14  0.50  0.00  0.47  0.22  NUC,yeast
DPB2_YEAST  0.50  0.51  0.52  0.09  0.50  0.00  0.48  0.25  NUC,yeast
DPB3_YEAST  0.53  0.61  0.52  0.21  0.50  0.00  0.55  0.30  NUC,yeast
DPM1_YEAST  0.54  0.42  0.41  0.16  0.50  0.00  0.52  0.22  ME2,yeast
SYDC_YEAST  0.46  0.35  0.53  0.16  0.50  0.00  0.51  0.29  CYT,yeast
DRS1_YEAST  0.46  0.43  0.49  0.79  0.50  0.00  0.49  0.63  NUC,yeast
ATC4_YEAST  0.51  0.55  0.35  0.16  0.50  0.00  0.51  0.47  ME3,yeast
DSS4_YEAST  0.56  0.52  0.55  0.19  0.50  0.00  0.54  0.22  CYT,yeast
TFS2_YEAST  0.61  0.30  0.59  0.12  0.50  0.00  0.49  0.27  NUC,yeast
DUN1_YEAST  0.37  0.53  0.46  0.23  0.50  0.00  0.47  0.22  NUC,yeast
DUR3_YEAST  0.83  0.58  0.33  0.04  0.50  0.00  0.53  0.22  ME2,yeast
EF1B_YEAST  0.39  0.45  0.53  0.18  0.50  0.00  0.54  0.22  CYT,yeast
EF2_YEAST   0.52  0.54  0.50  0.21  0.50  0.00  0.48  0.30  CYT,yeast
EGD1_YEAST  0.35  0.39  0.57  0.11  0.50  0.00  0.48  0.22  NUC,yeast
ATN2_YEAST  0.36  0.49  0.30  0.22  0.50  0.00  0.52  0.31  ME3,yeast
